comparison_idx,trial,seed,diffusion_seed,rrt_run_idx,rrt_success,rrt_path_length_m,rrt_wall_runtime_s,diffusion_run_idx,diffusion_success,diffusion_path_length_m,diffusion_wall_runtime_s,lateral_diffusion_run_idx,lateral_diffusion_success,lateral_diffusion_path_length_m,lateral_diffusion_wall_runtime_s
3,1,101,42,3021,1,1.893975,0.036752,4021,1,2.127877,146.333553,5021,1,2.195480,87.250740
3,2,211,42,3022,1,2.181768,0.029867,4022,1,2.085729,124.398638,5022,1,2.366868,126.098195
3,3,307,42,3023,1,2.206550,0.032375,4023,1,2.120444,135.121276,5023,1,1.994682,112.441240
3,4,401,42,3024,1,2.097211,0.028672,4024,1,2.134211,114.461755,5024,1,2.144593,122.996758
3,5,503,42,3025,1,3.916179,0.035121,4025,1,2.299705,85.560395,5025,1,2.173599,89.171928
3,6,601,42,3026,1,1.912030,0.033852,4026,1,2.319274,76.754694,5026,1,2.276507,114.321770
3,7,701,42,3027,1,2.052259,0.035407,4027,1,2.260173,103.674342,5027,1,1.991347,127.209861
3,8,809,42,3028,1,2.448850,0.024685,4028,1,1.956383,124.807242,5028,1,1.999523,111.554996
3,9,907,42,3029,1,2.057535,0.035369,4029,1,2.270566,82.563286,5029,1,2.128442,107.869566
3,10,1009,42,3030,1,2.015467,0.034875,4030,1,1.975287,76.223772,5030,1,2.419499,130.725677
